'[aeiouy]'	866,1184
' (                 # wrap whole match in $1\n                  \\[\n                    (.*?)        # link text = $2 \n                    # [for bracket nesting, see below]\n                  \\]\n\n                  [ ]?           # one optional space\n                  (?:\\n[ ]*)?    # one optional newline followed by spaces\n\n                  \\[\n                    (.*?)        # id = $3\n                  \\]\n                )\n    '	55,200
'\n        # Source consists of a PS1 line followed by zero or more PS2 lines.\n        (?P<source>\n            (?:^(?P<indent> [ ]*) >>>    .*)    # PS1 line\n            (?:\\n           [ ]*  \\.\\.\\. .*)*   # PS2 lines\n          \\n?)\n        # Want consists of any non-blank lines that do not start with PS1.\n        (?P<want> (?:(?![ ]*$)    # Not a blank line\n                     (?![ ]*>>>)  # Not a line starting with PS1\n                     .*$\\n?       # But any other line\n                  )*)\n        '	757,1087
'((?<!(href|.src|data)=[\'"])((http|https|ftp)\\://([a-zA-Z0-9\\.\\-]+(\\:[a-zA-Z0-9\\.&amp;%\\$\\-]+)*@)*((25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9])\\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9]|0)\\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9]|0)\\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[0-9])|localhost|([a-zA-Z0-9\\-]+\\.)*[a-zA-Z0-9\\-]+\\.(com|edu|gov|int|mil|net|org|biz|arpa|info|name|pro|aero|coop|museum|[a-zA-Z]{2}))(\\:[0-9]+)*(/($|[a-zA-Z0-9\\.\\,\\?\'\\\\+&amp;%\\$#\\=~_\\-]+))*))'	296,819
' (                   # wrap whole match in $1\n                  \\[\n                    (.*?)          # link text = $2\n                  \\]\n                  \\(               # literal paren\n                        [ \\t]*\n                        <?(.+?)>?  # href = $3\n                        [ \\t]*\n                        (          # $4\n                          ([\\\'\\"]) # quote char = $5\n                          (.*?)    # Title = $6\n                          \\5       # matching quote\n                        )?         # title is optional\n                  \\)\n                )\n    '	55,200
' (                        # wrap whole match in $1\n                  !\\[\n                    (.*?)               # alt text = $2\n                  \\]\n                  \\(                    # literal paren\n                        [ \\t]*\n                        <?(\\S+?)>?      # src url = $3\n                        [ \\t]*\n                        (               # $4\n                        ([\\\'\\"])        # quote char = $5\n                          (.*?)         # title = $6\n                          \\5            # matching quote\n                          [ \\t]*\n                        )?              # title is optional\n                  \\)\n                )\n    '	55,200
"\n        ^\n        \\s*\n        (?P<operator>(~=|==|!=|<=|>=|<|>|===))\n        (?P<version>\n            (?:\n                # The identity operators allow for an escape hatch that will\n                # do an exact string match of the version you wish to install.\n                # This will not be parsed by PEP 440 and we cannot determine\n                # any semantic meaning from it. This operator is discouraged\n                # but included entirely as an escape hatch.\n                (?<====)  # Only match for the identity operator\n                \\s*\n                [^\\s]*    # We just match everything, except for whitespace\n                          # since we are only testing for strict identity.\n            )\n            |\n            (?:\n                # The (non)equality operators allow for wild card and local\n                # versions to be specified so we have to define these two\n                # operators separately to enable that.\n                (?<===|!=)            # Only match for equals and not equals\n\n                \\s*\n                v?\n                (?:[0-9]+!)?          # epoch\n                [0-9]+(?:\\.[0-9]+)*   # release\n                (?:                   # pre release\n                    [-_\\.]?\n                    (a|b|c|rc|alpha|beta|pre|preview)\n                    [-_\\.]?\n                    [0-9]*\n                )?\n                (?:                   # post release\n                    (?:-[0-9]+)|(?:[-_\\.]?(post|rev|r)[-_\\.]?[0-9]*)\n                )?\n\n                # You cannot use a wild card and a dev or local version\n                # together so group them with a | and make them optional.\n                (?:\n                    (?:[-_\\.]?dev[-_\\.]?[0-9]*)?         # dev release\n                    (?:\\+[a-z0-9]+(?:[-_\\.][a-z0-9]+)*)? # local\n                    |\n                    \\.\\*  # Wild card syntax of .*\n                )?\n            )\n            |\n            (?:\n                # The compatible operator requires at least two digits in the\n                # release segment.\n                (?<=~=)               # Only match for the compatible operator\n\n                \\s*\n                v?\n                (?:[0-9]+!)?          # epoch\n                [0-9]+(?:\\.[0-9]+)+   # release  (We have a + instead of a *)\n                (?:                   # pre release\n                    [-_\\.]?\n                    (a|b|c|rc|alpha|beta|pre|preview)\n                    [-_\\.]?\n                    [0-9]*\n                )?\n                (?:                                   # post release\n                    (?:-[0-9]+)|(?:[-_\\.]?(post|rev|r)[-_\\.]?[0-9]*)\n                )?\n                (?:[-_\\.]?dev[-_\\.]?[0-9]*)?          # dev release\n            )\n            |\n            (?:\n                # All other operators only allow a sub set of what the\n                # (non)equality operators do. Specifically they do not allow\n                # local versions to be specified nor do they allow the prefix\n                # matching wild cards.\n                (?<!==|!=|~=)         # We have special cases for these\n                                      # operators so we want to make sure they\n                                      # don't match here.\n\n                \\s*\n                v?\n                (?:[0-9]+!)?          # epoch\n                [0-9]+(?:\\.[0-9]+)*   # release\n                (?:                   # pre release\n                    [-_\\.]?\n                    (a|b|c|rc|alpha|beta|pre|preview)\n                    [-_\\.]?\n                    [0-9]*\n                )?\n                (?:                                   # post release\n                    (?:-[0-9]+)|(?:[-_\\.]?(post|rev|r)[-_\\.]?[0-9]*)\n                )?\n                (?:[-_\\.]?dev[-_\\.]?[0-9]*)?          # dev release\n            )\n        )\n        \\s*\n        $\n        "	1263,1580
'["]'	445
'[#]'	74
u'[;]'	733
'[{}]'	1248
'[~$]'	360
'[x+]'	1580
'[\n]'	190
'[Yy]'	1135
'[SW]'	893
'[<&]'	1076
'[=,]'	585
'[:@]'	1068
'[:/]'	1462
'[/ ]'	1247
'[.:]'	1495
'[-:]'	679
'[- ]'	860
'[, ]'	560
'[ ?]'	1232
'[ T]'	245
'[|&]$'	1300
'[abc]'	918
'[\t ]'	1561
'[\n,]'	360
'[\\)]'	74
'[\\(]'	74
'[\'"]'	1107
u'[xy]'	813
'[?/]+'	220
'[01]+'	1501
'[._-]'	1589
'[.;] '	1541
'[.:-]'	1135
'[,\n]'	1190
'[-./]'	1501
'[*?!]'	687
'[*,]+'	1248
'[()=]'	1580
'[().]'	283
'[&"<]'	1638
'^[yn]'	1426
'["\']'	1580
'^[?@]'	1248
'^[@+]'	340
'^[87]'	1122
'^[$_]'	1322
'^[ ]*'	1050
'[ \n]'	1302
"(['])"	780
'([|&])'	1300
'-[th]l'	1248
'[<>{}]'	1248
'[<>:/]'	251
'[<=>!]'	485
'[\t ]+'	1540
'[,\\|]'	944
'[abc]+'	918
'^[ab]/'	1426
'[\\.:]'	740
'[\\+-]'	1051
'[sxz]$'	1247
'([<>])'	1559
'[,;:].'	200
'[;,/-]'	1001
'([-,])'	1258
'[,.]*$'	220
'([)]+)'	1267
'([(]+)'	1267
'^[,.]*'	220
'  [ ]*'	1495
'[\'"]+'	1226
'[ ]+\n'	1247
'^-[RL]'	294
'99[.]99'	313
'^[a|b]/'	1426
'[\r\n]*'	1054
'^[\t ]*'	805
'[$][^$]'	592
'[&<\'"]'	190
'.*[\\/]'	812
'-[>-]* '	1594
'^[fF]+$'	1250
'([<>&])'	1580
'([.*]+)'	27
'^[MT0]+'	1512
'[\\n,]+'	232
' *[;#!]'	735
'^[*]...'	313
u',:[ _]'	733
'([/_%])'	1258
'[\\-: ]'	1025
'^[1|2]$'	1353
'/[.]svn'	805
'[\\"\']'	826
'[Ee]rror'	31
'[\\?%]>$'	826
u'[<{\\[]'	733
'[-./:# ]'	1076
'[\\>:]+$'	126
'(/)?[*]$'	1381
'[\\._ ]+'	1557
'[ \\t]*#'	53
'^["\']?/'	826
'[@:]type'	43
'([-:. ])'	1469
'([()| ])'	1248
'[\n\\ ]+'	1020
'[\\(\\)]'	232
'l[eo]af$'	1247
'[\\]\\}]'	813
'[pP]ylot'	903
u'[&#%?!]'	733
'^[hsv]+d'	548
u'[eE\\.]'	689
'[$]{.+?}'	119
'^[\\< ]+'	126
'[:/\\\\]'	260
'[\\\\{}]'	1580
'[\\t\\n]'	826
"('[{}]')"	498
'^[ \\t]+'	1580
'\\bc[cs]'	1248
u'[>}\\]]'	733
'[\\[\\{]'	813
'\\bab[nx]'	1248
'[\\n\\r]+'	1555
'(?=[\\"])'	31
'([1IiAa])'	729
u'[\r\n ]+'	733
"([,']\\s)"	1248
'^[tf]lf2.'	734
'[][\\()"]'	43
'([&|() ])'	1143
u'[\t\n ]+'	733
'[uU][\'"]'	1594
'([\\x7F])'	455
'[sS]ignal'	232
'i[3456]86'	290
'([\\x0D])'	455
'p[1,2,3]$'	548
'[actg]{3}'	1331
'f[lie]=.+'	356
'([!<>=]+)'	1007
'[\\/\\\\]'	1240
'^\\s*[#;]'	599
'^[.]{1}.*'	84
'[()\\134]'	1386
'[\n ]{2,}'	126
'[\t\r\n]+'	960
'([*]|[:])'	356
u'[;:][ _]'	733
'[ \t]+|\n'	1523
'[\\r\\n]*$'	1302
'[_-]rc\\d+'	560
'[\\?\\&=:]'	990
'([$`\\\\])'	31
'[ \t\n\r]+'	339
'[ \\t]+\\n'	789
'^[ex]\\d+$'	1248
'[123 ]*H.*'	1302
'^([@+])?.*'	340
'([\\t\\n])'	1248
'^-[LRuYz]$'	294
'<([~\\^])>'	1248
'[\\n\\r]+?'	1513
'[ \r\n\t]+'	1371
'[ \t\r]+\n'	1247
'["\\\'{},]'	1470
'([\\{\\}])'	1076
'^[_]+[ -]+'	1566
'[@:]number'	43
'[+-][0-9]+'	498
'[MPK]+\\d+'	1412
'[\n\r\t ]+'	1076
'[\\\\][\n]'	557
u'[ab]\\d+$'	1007
'l([eo])af$'	1247
'([\\\\{}])'	1580
'^[0-9]+[*]'	560
'^([.]*).*$'	1469
'^[\t\r\n]+'	960
'[\t\r\n]+$'	960
'[,|;]?\\s?'	916
u'[\\-*:=@]'	943
'[ \\*]*(.+)'	413
'<[Bb][Rr]/>'	110
'([+-]?\\d+)'	771
'([\\[\\]]+)'	1469
'([{}_#%&$])'	1635
' |,|"|=|[|]'	1618
'[()[\\]:&"]'	1001
'[nN]ew (.*)'	1594
"[uU]('.*?')"	1087
'--[ \t\n]*>'	413
':"(["|\\{])'	1205
'^[@]+|[@]+$'	1580
'---[ \t]*\n'	910
'[-+]\\s*\\('	292
'([\'"#%*?])'	1618
'[-+]?[0-9]+'	908
'w[0-9]*[nN]'	498
u'[/+\\\\:=]'	733
'\\\\[\\\\]?'	313
'([`$\\\\"])'	31
'[MAD][\t ]+'	1540
'[\\{\\}<>]+'	1248
'take\\s*[(]'	356
'[(](.*?)[)]'	1461
'([/.~\\\\])'	1258
'["\\(\\) ,-]'	126
'[\\(\\[\\{<]'	1248
'[   \\r\\n]+'	1247
'[/\\\\?\\*:]'	457
':(?![\\\\/])'	1007
'([.\\w]+)[.]'	1621
'\\([01,]+\\)'	276
'^[\\*j.] .*$'	153
'[Yy][Ee][Ss]'	1135
'[-|\\+]\\d+$'	727
'[*\\/:."\' ]'	1249
'(.*?)[,(:].*'	1321
'\\b[\\-_]\\b'	255
'[ _.\\[\\]]+'	1557
'^([ \\t]*#*)'	1580
'[&<>"\']|]]>'	1350
'[\\)\\]\\}>]'	1248
'[@:]template'	43
'(\\D[123])_D'	975
'([$]{[^}]*})'	313
'[aeouiAEOUI]'	153
'\\\\[natbv"]?'	602
'^[ \\t\\n\\r]'	360
u'{[{%].*[}%]}'	1557
'[/ \\t\\r\\n]'	944
'\\n[ \\t]*\\n'	1248
'[,]?([^,=]+)='	1068
'\\\\(?![nrt])'	602
'(?=^[.]{1}.*)'	84
'([\\\\"\\\'])'	1248
'--[ \t\r\n]*>'	1076
'[\\t\\r\\n ]+'	539
u'[ _]?\\(!\\)'	733
u'[?!]([."]|$)'	733
'^[_@]+|[_@]+$'	1580
u'[-,^]([.]|$)'	733
'[ \\n\\r\\t]+'	1050
'^(\\s*>[ >]*)'	747
'[\\\\\\"\\$`]'	679
'^A[0-9][^ ]+$'	439
'[+-][0-9]{4}$'	1055
'[-][-]link[-]'	356
'^[ \\n\\t\\r]'	1618
'extdemo[.]pyd'	313
'[\\()\\[\\]"]'	340
'^([#*]+)\\s.*'	1267
'[ \\t\\n\\r]$'	360
'^(.+)[&](.+)$'	560
'[ \\n\\t\\r]$'	1618
'[\\d.]+[ ]*\n'	1101
'[acgt][acgt]+'	1331
'[d|D](ebu|b)g'	1199
'(.*?)([?*]|$)'	1184
'^(.+)[|](.+)$'	560
'(\\d+[dwhms])'	873
'^([><])(\\d+)'	1302
"[/!:?\\-,\\']"	1232
'\\$([@\\^\\$])'	1547
'[*][*]([0-9]*)'	356
'/[.]svn|.*26.*'	805
'[\\\\/:*?"<>|]'	1569
'ou=(\\S+)[,\n]'	693
'[#][\\dA-F]{8}'	1025
'[#][\\dA-F]{6}'	1025
'[#][\\dA-F]{3}'	1025
'^[ ]{0,3}[^ :]'	236
'[\\w]+="[^"]+"'	1076
'.*[Cc]aptcha.*'	55
'([\\+\\-\\^]+)'	1087
'^[+]{0,1}\\d*$'	1607
'/ (?=[\\*&,])/'	1399
'\\${(\\d+)[:}]'	597
'\\sinet[6]?\\s'	548
'([>}])(?=[<{])'	1248
'^([cku]?)x(.*)'	1278
'^<[\\?%](php)?'	826
'^[^:]*[\\d:]+$'	741
'^[,.?!"()\\\']'	776
'[*]|--|[^+*-]+'	1248
'^(.*)([ \t]+)$'	1216
u'[*?]|\\[.+\\]'	737
'[@:]ok_message'	43
'[RL]\\{(.+)\\}'	498
'[0-9]*[nN]{1,1}'	498
'^(\\d+)([dwm])$'	317
'^["]([^"]+)["]$'	502
u'[\t ]*\n[\t ]*'	1438
'<[Bb][Rr][^>]*>'	110
'([\\-]\\s+)(.+)'	1315
'(?P<ws>[ \\t]*)'	53
'[\\\\\\r\\n\\"]'	908
'[\\[\\]\\(\\);]'	64
'[ ]*%\\(.*?\\)s'	356
'\\w+([.]\\w+)*$'	1214
'\\\\([\\\\{}%])'	1247
'[:*?"<>\\|\\n]+'	309
u'[\\._\\(\\) ]+'	1557
'^[|+` -]+policy'	1051
'[-][-](verbose)'	356
'^([acguACGU]+)$'	1372
'[\\\\*?:/\\[\\]]'	729
u'\\s-[wdhm]?\\d+'	833
'\\w+|[\\.\\!\\?]'	1248
'^([\'"])(.*)\\1$'	1025
'([\r\n.]*)\r\n# '	506
'([IOB])-?(\\S+)?'	1488
'(.+)[-_]r?(\\d+)'	318
'^(.*)([\\?#].*)$'	988
'[*{}?+]|\\[.+\\]'	737
'([hsv]d[a-z]+3)$'	560
'[][\\()<>@,:;".]'	43
'.*[Ll][Ss]-120.*'	1051
'[Oo]pera [Mm]ini'	78
'[^ ]*\\.[A-Z]{3}'	1045
'^\\s* ([#\\*-]) '	738
'\\*[LR][CRS]B\\*'	1248
'[0-9]*n[wW]{1,1}'	498
'^([Mm]a?c)(\\w+)'	1561
'\x1b\\[[0]{0,1}m'	498
u"([a-z]+)([,']*)"	782
'[\\\\/\\?"]|^\\.'	1003
'([\\\\\\"\\\' ])'	534
'^(.*)(\\.py[oc])$'	1226
'[-][-]compiler[=]'	356
'[ \t:;,+/\\"\'`]+'	1540
'[ \\t]+sss[ \\t]*'	789
'[QA]?[:;.]?\\d\\d'	1190
'(\\w:[/\\\\])(.*)'	599
'([ \\"\'\\\\\\$])'	407
'^(\\s+)[-=]+\\s*$'	356
'[@:]error_message'	43
'[ \t]*\\[[\\w]+ $'	626
'[+-](\\d+\\.\\d+)'	1501
'/?\\w+/\\w+[.]xsd'	436
'^[ \\t]*def \\w+$'	1555
'[uU]?[rR]?([\'"])'	1248
'([[ ~^:?*]|\\.\\.)'	502
'max[(](.+),(.+)[)]'	356
'^:.*[MAD]\\s*(.+)$'	122
'int\\s*[(][^)]*[)]'	356
'(\\dQ)|(Q[:.]?\\d)'	1190
'flake8[:=]\\s*noqa'	1505
'min[(](.+),(.+)[)]'	356
'[ ]+(?P<t>[,;\\.])'	1247
'distro[\\\\/]+(.+)'	119
'[ \r\t]*\n[ \r\t]*'	757
'-py2[.][0-35-9][.]'	313
'[\\/]*\\.\\.[\\/]*'	908
'([\r]?\n)+[ \t]{1}'	200
'[^(]+[(]([^)]+)[)]'	602
'[Ff]ile(\\d+)=(.+)'	53
'[.:, !?+=\\(\\)/]+'	1340
'(E?%0?E(?![._]?N))'	1269
'/[ ]*[\\d.]+[ ]*kg'	1101
'^:.*[MAD]\\s+(.+)$'	122
'\\(([IVXLCDM]+)\\)'	1469
'\\n(?:[ \\t]*\\n)+'	666
'(\\w+)([.#])(\\w+)'	305
'<[a-zA-Z\\/][^>]*>'	175
'^([^ \\t]+)[ \\t]*'	813
'([\\-0-9]*)([ADIP])'	1248
u'[_.,\\[\\]\\(\\):]'	1557
'(?<=\\n)[ ]+(?!\\s)'	1248
'[Tt]itle(\\d+)=(.+)'	53
'[ \\t]*(#[^\\n]*)?$'	908
'([\'"][^\'"]*[\'"])'	1054
'<[a-zA-Z\\/][^>]*?>'	175
'[\\d]{2}[ ][\\d]{2}'	1113
'^Name:[ ]*([^\\s]*)'	122
'^0[xX][0-9a-fA-F]+$'	891
'&#[xX][a-fA-F0-9]+;'	1446
'bool\\s*[(][^)]*[)]'	356
'[\\\\"]|[\x00-\x1f]'	534
'(\\S+)([ \t]*?)(.*)'	338
'([\\\'"])[^\\1]*\\1'	1469
'^\\s+[END|START].*$'	560
'[- \t:;,!+/\\"\'`]+'	1540
u'^[\\s]*==([^=]+)=='	1100
'^[>|\\s]*[-_]+\\s*$'	43
'^[ \\t]*class \\w+$'	1555
'[a-zA-Z][.][a-zA-Z]'	514
'-?(\\d*)([.]?\\d*)?'	1248
'([^<]*)<([\\w]*|/)>'	363
'^([0-9]+[.][0-9]+).*'	1621
'[ \t]+(?P<a>\\S.+?){'	1247
'[=*/+\\-^()]|[\\w.]+'	232
'["\\*\\/:<>\\?\\\\|]'	10
'(.*)-[0-9_]+(.*[.]a)'	1249
'^\\(([IVXLCDM]+)\\)$'	1469
'^$|^-$|[/ \\t\\r\\n]'	944
'[1-9][0-9]*[.][0-9]+'	533
'(?<![\\n\\*])\\*{2,}'	138
' \\([=<>]* [^ )]*\\)'	1143
'\x1b\\[[34][0-9];01m'	498
'(?:^|[^%])%([\\w-]+)'	1571
'([.]flat(\\s*?[[=]))'	356
'[INFO|FILTER|FORMAT]'	1412
'([Ii])ssue #([0-9]+)'	1580
'[\\\\/\\:*?"<>|\x00]'	1007
'^([1\\.\x00\\-\\+]+)'	754
'^[0-9]{1,3}[kKmMgG]$'	1353
'/\\*.*?\\*/\\s*|[()]'	292
'^([a-z-]*) +([^ ].*)'	1618
'[?\\&|!{}+~^()":*-]+'	200
'^(\\s*) [#\\*-] (.*)'	738
'float\\s*[(][^)]*[)]'	356
'[][ (){}?:<>#!|"\';]'	975
'^([0-9]+)([smhDWMY])'	679
'([+-]?\\d*\\.?\\d+)$'	456
'([\\.\\d]+) ([GMK])B'	1557
'-[ \\t]*\\n[ \\t\\r]+'	1618
'src=([\\\'"])(.+?)\\1'	1144
'[\\r\\n^<>|;&"\\\'%$]'	566
'[+\\-]{0,1}\\b\\d+\\b'	1108
'[ \\t]*\\n([^\\r\\n])'	1025
'W (\\d{1,3}) ([10PX])'	318
'(\\d[Aa])|(A[:.]?\\d)'	1190
'\\([Dd]isc *[1-9]+\\)'	110
'(.*(\\s+|[*]))(\\w+)$'	356
'\\s*([^,;]+?)\\s*[,;]'	1522
'[/:()<>|?*\\ ]|(\\\\)'	1613
'^[-\\\\.(),!&^|>=<]*$'	1248
'&#[xX]([a-fA-F0-9]+);'	1446
'([bB]ug#?\\D#?(\\d+))'	1644
'[Ww]atchpoint (\\d+):'	1621
'([^\\w.@+-/]|[,;?!])*'	585
'[^\\\\]\\$([a-z]+)\\b'	375
u'[_.,\\[\\]\\(\\): ]+'	1557
'^(scsi|ide)[0-9]+[^:]'	562
'([+-])?(\\d+[dwhms])+'	873
'[$]([A-Z_][A-Z0-9_]*)'	1258
'^[ \\t]*from [\\w.]+$'	1555
u'.*([-.*?]|\\[.+\\]).'	737
'/[*]\\s*f2py\\s.*[*]/'	356
'[Ll]ength(\\d+)=(\\d+)'	53
'^[\\w\\<][^\\n]*(\\n+)'	485
'[name|class]="([^"]*)"'	1249
'zc.buildout-\\S+[.]egg'	313
'<%[\\=\\-\\#]?(?!.*%>)'	1025
'(?i)([+-]\\d+):00 from'	539
'^[ ]{0,3}[*+-][ ]+(.*)'	236
'[(]([^)]*)[)]\\*(\\d+)'	356
'^([^=]+)[ ]*=[ ]*(.+)$'	502
'[\\r\\n]+\\s*[\\r\\n]+'	43
'zc.buildout[.]egg-link'	313
'(.*)-[0-9_]+(.*[.]lib)'	1249
'[\\r\\n\\t ]+[\\r\\n]+'	682
'#include *["<](.*)[">]'	119
'(?s)<!--(.*?)-->[\\n]?'	1248
'\\(*[Vv]ol.*[1-9]+\\)*'	110
'([\\[\\]\\(\\)\\{\\}])'	740
'unicode\\s*[(][^)]*[)]'	356
'^[^,]+,([0-9A-F]+),.*$'	1432
'complex\\s*[(][^)]*[)]'	356
'[\\x00:\\*\\?\\"<>\\|]'	1469
'(?m)(?:^[ \\t]*\\n){1,}'	1258
'\\(\\s*([*]|[:])\\s*\\)'	356
'(?m)^Failed [Ee]xample:'	1470
'lda.b tcc__([rf][0-9]*)'	157
'(\\d[.]\\d)([.].*\\d)?$'	313
'[=*/+\\-^]{1,2}|[\\w.]+'	232
'[^_]+_toy-([\\w-]*)-x86'	1068
'^translator[-_]credits$'	556
'[ \\t]*// @(\\w+): (.*)'	1534
'var-bind=[\'"](.*)["\']'	596
'class |def |u?r?["\\\']'	1199
'(\\w+)[ ]+- ([\\w /,]+)'	506
'^[ MADRCU?!]{1,2}\\s+.*'	1025
'^[ ]{0,3}:[ ]{1,3}(.*)$'	1395
'(.+):([0-9]+)[:]{0,1}.*'	498
'(?:["\'])(.*)(?:["\'])$'	1258
'^([^ ]+) = ([0-9\\.]+)$'	1510
'\\\\(?P<char>[/@:\\\\])'	1235
'[ \t]*File.*line (\\d+)'	53
'[dSNwrho]{1,3} =.{7,8}?'	1302
'mozilla\\.[com|net|org]'	1644
'\\A<[^>]*?href=["\']\\Z'	245
'-py\\d[.]\\d(-\\S+)?.egg'	313
'^Version:[ ]*([0-9\\.]*)'	122
'[MAD][\t ]+ChangeLog.txt'	1540
'\\s{2,}|[\t\n\r\x0c\x0b]'	381
'^[ ]{0,3}\\d+\\.[ ]+(.*)'	236
'(?:[.~]|/[a-zA-Z_0-9]+)/'	747
'sta.b (tcc__[fr][0-9]*)$'	157
'\\[!([bcgmryBCGMRY])?\\]'	736
'\\(CVS[NT]*\\) ([\\d.]+)'	122
u'[ \\(\\)\\-_\\[\\]\\.]+'	1557
'&#[x]*(?P<name>[0-9]+);*'	1431
'^([-+]?[0-9]+)/([0-9]+)$'	518
'^\\d+\\.\\d+([ab]\\d+)?$'	1248
'^E1100[01] duplicate key'	985
'(.*)-[0-9_]+(.*[.]dylib)'	1249
'http[s]*:.*flickr.com/.*'	1285
'^[$]?([A-Z]+)[$]?(\\d+)$'	729
'(^.|\\b(?:[iv]+|dci)\\b)'	771
'^BUG[ \\t]*=[ \\t]*(.+)$'	534
'(?:[~#]|\\.py[co]|\\.o)$'	356
'.*[<]KILLLINE[>].*(\\n|$)'	356
'[$_]?(?:is|has)($|[A-Z_])'	1025
u'==\\s*Delta[kg]ere\\s*=='	1100
'^.*[/\\\\]koans[/\\\\].*$'	1633
'(?P<year>[12]{1}[0-9]{3})'	1469
'legislator/[SH]\\d+\\.htm'	182
'fix_([ew][0-9][0-9][0-9])'	640
'([abc|rc])[\\-\\.](\\d+)$'	1469
'([\\w\\.-]+)\\s+([^(]+).*'	1501
'[ \\t]*(#[^\\n]*)?\\r?\\n'	908
'sta.b tcc__([rf][0-9]*h?)$'	157
'(\\x0d\\x0a|[\\x0d\\x0a])$'	1386
'(\\S+[.]savespace[(].*[)])'	356
'(.*)-[0-9_]+(.*[.]dll[.]a)'	1249
'href="?/imgres\\?(.*?)[ >]'	183
'^([-+]?[0-9]+)\\.([0-9]+)$'	826
'[A-Z]{([^}<]*)(<[^>}]*>)?}'	1248
'[$_]?(?:set|add)($|[A-Z_])'	1025
'(%(\\([^\\s\\)]*\\))?[sd])'	162
'\\s*[:_\t]+\\s*|\\s{2,}|\n'	1190
'([+-])(\\d\\d):?(\\d\\d?)?'	96
'-?[0-9]+([ ]+-?[0-9]+){3}$'	729
'[+-]?\\d*\\.\\d*|[+-]?\\d+'	374
'.*\\([+]{0,1}\\d{3,15}\\)$'	1607
'[,;:\\(\\)\\[\\]\\{\\}<>]+'	255
'([A-Za-z0-9-]+): ([^\r\n]+)'	1638
'^Signed-[Oo]ff-[Bb]y: (.+)$'	502
'[A-Za-z0-9_.-]*[.][r][p][m]'	560
'([a-fA-F0-9]{2}[:|\\-]?){6}'	1135
'([^\\-\\.]*)-([\\d+.\\-]+)$'	1248
'\\\\([ \tn\\\\]|[0-7]{3,3})'	27
'(http://)?localhost([:/]|$)'	350
'^[\\w|\\s.]+\\(([^)]*)\\).*'	1580
'^([^:]+):.([0-9]+).Watts.*$'	225
'["\\*<>\\|]|^\\.|\\.$|\\s+$'	1003
'^(0[xX][0-9a-fA-F]+|[0-9]+)'	891
'[-d]  setuptools-\\S+[.]egg'	313
'[-+]\\s*\\(.*?\\)\\s*(\\w+)'	292
'\\.[a-z]+-\\d{2}[mud]{0,3}$'	1594
'^[+/0-9A-Za-z]{21}[AQgw]==$'	1007
'([\\\\/])([.,]?)([.,]?)(.*)'	1248
'(.*[*?[\\\\]|ignorecase\\:)'	679
'__title__.*?["\'](.*?)["\']'	431
'[A-Za-z0-9_.-]*[.][d][e][b]'	560
'(.*)-[0-9_]+(.*[.]so)[.0-9]*'	1249
'(.+)[-_]([0-9a-fA-F]{40,40})'	318
'(.+)[-_](\\d+)_(\\d+)_(\\d+)'	318
'Line ([0-9]*) of "([^"]*)".*'	1007
'[ \\f\\t]*(?:\\r\\n|\\r|\\n)'	53
'^[ \t]*(?i)script(?i)[ \t]*$'	1591
'coding[:=]\\s*"*([-\\w.]+)"*'	498
'[QA]?[:;.]?\\d\\d[:;.]\\d\\d'	1190
'[#\n]*#\\s+Copyright\\s+\\d*'	1384
'^[a-z]+\\*?\\d[a-z]*[>\\.]?$'	1248
'.*[ :\\+\\-,\\.\\*\\?\\[\\]]'	975
'^([ >]*)(import|from) +nifti'	975
'[-d]  (setuptools|distribute)'	313
'^-?[\\.,]?\\d[\\d,\\.-]*\\.?$'	1248
'[a-z][\\.\\!\\?][\\"\\\']?\\Z'	1580
'^([+\\-])?\\$([^\\$\\{\\}]+)$'	557
'"([^"]+)"\\s*(0x[0-9a-fA-F]+)'	633
'\\s*([REWCF]):\\s*([0-9]+):.*'	498
'#define[ \\t]+([A-Za-z0-9_]+)'	498
'[a-zA-Z][^\t\n\r\x0c />\x00]*'	1580
'%\\(line *([\\+-]) *(\\d+)\\)'	1243
'([1-9][0-9]*)([DdHhMm]|[sS]?)'	1074
u'\\w{5,}|\\w{2,}(?:[:-]\\w+)+'	782
'[\\x00\\/\\\\:\\*\\?\\"<>\\|]'	1469
'(\\n|\\r\\n|\\r|[ \\t]+|\\S+)'	43
'.*[\\*,\\[,\\],\\{,\\},\\?].*'	290
'(.+)[-_](\\d+)\\.(\\d+)(\\w?)'	318
'\x1b\\[[34][0-9]m*.*?\x1b\\[m'	498
'%([A-Z]), +[$](0|[1-9][0-9]*)'	1260
'HTTP/1.[01] ([0-9]+) ([^\r]*)'	606
'H([FOP])([A-Z]{3}).*?:(.*)\\Z'	80
'^([^ ]+)[ ]+([^ ]+)[ ]+([^ ]+)'	1491
'^[S7]\\s*[T8]\\s*[O6]\\s*[P7]$'	838
'rootpw[ ]+--iscrypted[ ]+.*\\n'	1051
